"","thorax_temp"
"723",8.67573698410843
"724",89.657065366341
"725",55.0569260810823
"726",52.7530794398175
"727",63.8524165946877
"728",106.88331409666
"729",500
"730",125.417674557269
"731",21.2315063956201
"732",7.20404719481178
"733",34.9141775761034
"734",77.8527661855713
"735",5.57428054643918
"736",47.0294285352167
"737",19.9126604415387
"738",31.0852174431706
"739",46.6862773346918
"740",66.0114004762726
"741",500
"742",114.111515885874
"743",5.77817579045393
"744",62.4365794203924
"745",500
"746",111.974766492391
"747",98.788054243623
"748",70.9889181574241
"749",53.9040362460344
"750",28.9139455274608
"751",105.87323573939
"752",500
"753",17.5593731868049
"754",61.2375554995522
"755",500
"756",500
"757",37.8074800021806
"758",47.4815931489661
"759",500
"760",500
"761",14.3111560522285
"762",500
"763",500
"764",70.0547269218912
"765",39.6382345857256
"766",500
"767",11.5579955704753
"768",500
"769",48.4282082724083
"770",112.881179082694
"771",52.3342583274215
"772",10.9259472197162
"773",6.25826671116312
"774",500
"775",500
"776",47.7788045090869
"777",42.0371299110028
"778",64.8245259701496
"779",500
"780",105.935461726934
"781",26.8703115741491
"782",70.9118756113695
"783",18.8684741159681
"784",500
"785",24.1134398848903
"786",43.7157552388747
"787",28.4815934948505
"788",32.4952350839205
"789",500
"790",33.4185440521644
"791",54.3414391638547
"792",500
"793",24.0590539092379
"794",500
"795",25.5716037676358
"796",500
"797",500
"798",47.3277081284924
"799",69.6867182037726
"800",2.96896098032619
"801",22.143140399003
"802",32.0113272309746
"803",36.9710849300751
"804",500
"805",500
"806",500
"807",39.0720751605074
"808",27.2831854082176
"809",500
"810",500
"811",128.863366632575
"812",45.5381392966138
"813",24.5360940567311
"814",500
"815",103.485893057633
"816",500
"817",30.5234132589011
"818",107.851217930678
"819",500
"820",500
"821",28.8747869810508
"822",105.975827806306
"823",106.135797756617
"824",500
"825",121.037550416914
"826",51.2229353316571
"827",29.8073270139732
"828",500
"829",25.6179653907584
"830",39.615577209053
"831",60.0301492693754
"832",500
"833",500
"834",500
"835",27.1422805270263
"836",57.3642268940926
"837",9.7358716319406
"838",500
"839",10.1878954940216
"840",51.3804518967233
"841",19.3774666769215
"842",79.3825867797192
"843",500
"844",500
"845",9.30150892061721
"846",500
"847",46.5104692429228
"848",500
"849",5.87234799401762
"850",36.6140070725889
"851",99.3321767559488
"852",21.7651803282924
"853",124.501995726553
"854",6.93441676956849
"855",34.6368104139397
"856",500
"857",500
"858",104.723264363352
"859",117.99164772618
"860",500
"861",33.3332236707614
"862",4.16486627273724
"863",500
"864",35.0555300986998
"865",500
"866",19.2510239473395
"867",39.9242865387014
"868",48.3703951110772
"869",500
"870",500
"871",15.0415407760688
"872",34.5886206645265
"873",30.9692191563169
"874",500
"875",7.79253374171998
"876",500
"877",122.664943563159
"878",500
"879",500
"880",48.1489588931294
"881",26.2030605709477
"882",500
"883",110.044306793313
"884",500
"885",500
"886",16.2069740752992
"887",36.8100121409699
"888",51.4427528944379
"889",43.7809111601223
"890",500
"891",500
"892",54.986068887369
"893",124.046923825936
"894",500
"895",69.8077328055581
"896",500
"897",16.8783982950044
"898",23.241553800022
"899",500
"900",500
"901",500
"902",500
"903",44.2087960718531
"904",12.7906181964398
"905",86.5239724977904
"906",46.7876217469775
"907",107.245616659501
"908",500
"909",500
"910",39.9063221373743
"911",55.4542274329166
