"","x"
"1367",0.032
"1368",0.032
"1369",0.034
"1370",0.034
"1371",0.034
"1372",0.036
"1373",0.036
"1374",0.036
"1375",0.036
"1376",0.038
"1377",0.038
"1378",0.038
"1379",0.04
"1380",0.04
"1381",0.042
"1382",0.044
"1383",0.046
"1384",0
"1385",0
"1386",0
"1387",0.002
"1388",0.002
"1389",0.002
"1390",0.004
"1391",0.004
"1392",0.004
"1393",0.004
"1394",0.006
"1395",0.006
"1396",0.006
"1397",0.006
"1398",0.006
"1399",0.008
"1400",0.008
"1401",0.008
"1402",0.008
"1403",0.008
"1404",0.01
"1405",0.01
"1406",0.01
"1407",0.01
"1408",0.01
"1409",0.01
"1410",0.012
"1411",0.012
"1412",0.012
"1413",0.012
"1414",0.012
"1415",0.012
"1416",0.012
"1417",0.014
"1418",0.014
"1419",0.014
"1420",0.014
"1421",0.014
"1422",0.014
"1423",0.014
"1424",0.014
"1425",0.016
"1426",0.016
"1427",0.016
"1428",0.016
"1429",0.016
"1430",0.016
"1431",0.016
"1432",0.016
"1433",0.018
"1434",0.018
"1435",0.018
"1436",0.018
"1437",0.018
"1438",0.018
"1439",0.018
"1440",0.018
"1441",0.018
"1442",0.02
"1443",0.02
"1444",0.02
"1445",0.02
"1446",0.02
"1447",0.02
"1448",0.02
"1449",0.02
"1450",0.02
"1451",0.02
"1452",0.022
"1453",0.022
"1454",0.022
"1455",0.022
"1456",0.022
"1457",0.022
"1458",0.022
"1459",0.022
"1460",0.022
"1461",0.022
"1462",0.024
"1463",0.024
"1464",0.024
"1465",0.024
"1466",0.024
"1467",0.024
"1468",0.024
"1469",0.024
"1470",0.024
"1471",0.024
"1472",0.024
"1473",0.026
"1474",0.026
"1475",0.026
"1476",0.026
"1477",0.026
"1478",0.026
"1479",0.026
"1480",0.026
"1481",0.026
"1482",0.026
"1483",0.026
"1484",0.026
"1485",0.028
"1486",0.028
"1487",0.028
"1488",0.028
"1489",0.028
"1490",0.028
"1491",0.028
"1492",0.028
"1493",0.028
"1494",0.028
"1495",0.028
"1496",0.028
"1497",0.03
"1498",0.03
"1499",0.03
"1500",0.03
"1501",0.03
"1502",0.03
"1503",0.03
"1504",0.03
"1505",0.03
"1506",0.03
"1507",0.03
"1508",0.03
"1509",0.03
"1510",0.032
"1511",0.032
"1512",0.032
"1513",0.032
"1514",0.032
"1515",0.032
"1516",0.032
"1517",0.032
"1518",0.032
"1519",0.032
"1520",0.032
"1521",0.032
"1522",0.034
"1523",0.034
"1524",0.034
"1525",0.034
"1526",0.034
"1527",0.034
"1528",0.034
"1529",0.034
"1530",0.034
"1531",0.034
"1532",0.034
"1533",0.034
"1534",0.034
"1535",0.036
"1536",0.036
"1537",0.036
"1538",0.036
"1539",0.036
"1540",0.036
"1541",0.036
"1542",0.036
"1543",0.036
"1544",0.036
"1545",0.036
"1546",0.036
"1547",0.036
"1548",0.038
"1549",0.038
"1550",0.038
"1551",0.038
"1552",0.038
"1553",0.038
"1554",0.038
"1555",0.038
"1556",0.038
"1557",0.038
"1558",0.038
"1559",0.038
"1560",0.038
"1561",0.04
"1562",0.04
"1563",0.04
"1564",0.04
"1565",0.04
"1566",0.04
"1567",0.04
"1568",0.04
"1569",0.04
"1570",0.04
"1571",0.04
"1572",0.04
"1573",0.042
"1574",0.042
"1575",0.042
"1576",0.042
"1577",0.042
"1578",0.042
"1579",0.042
"1580",0.042
"1581",0.042
"1582",0.042
"1583",0.042
"1584",0.044
"1585",0.044
"1586",0.044
"1587",0.044
"1588",0.044
"1589",0.044
"1590",0.044
"1591",0.044
"1592",0.044
"1593",0.044
"1594",0.046
"1595",0.046
"1596",0.046
"1597",0.046
"1598",0.046
"1599",0.046
"1600",0.046
"1601",0.046
"1602",0.046
"1603",0.046
"1604",0.048
"1605",0.048
"1606",0.048
"1607",0.048
"1608",0.048
"1609",0.048
"1610",0.048
"1611",0.048
"1612",0.048
"1613",0.05
"1614",0.05
"1615",0.05
"1616",0.05
"1617",0.05
"1618",0.05
"1619",0.05
"1620",0.05
"1621",0.052
"1622",0.052
"1623",0.052
"1624",0.052
"1625",0.052
"1626",0.052
"1627",0.052
"1628",0.054
"1629",0.054
"1630",0.054
"1631",0.054
"1632",0.054
"1633",0.054
"1634",0.054
"1635",0.056
"1636",0.056
"1637",0.056
"1638",0.056
"1639",0.056
"1640",0.056
"1641",0.058
"1642",0.058
"1643",0.058
"1644",0.058
"1645",0.058
"1646",0.06
"1647",0.06
"1648",0.06
"1649",0.06
"1650",0.06
"1651",0.062
"1652",0.062
"1653",0.062
"1654",0.062
"1655",0.064
"1656",0.064
"1657",0.064
"1658",0.066
"1659",0.066
"1660",0.068
"1661",0.068
"1662",0.07
"1663",0.07
"1664",0.072
"1665",0.074
"1666",0
"1667",0
"1668",0.002
"1669",0.002
"1670",0.002
"1671",0.004
"1672",0.004
"1673",0.004
"1674",0.006
"1675",0.006
"1676",0.006
"1677",0.006
"1678",0.008
"1679",0.008
"1680",0.008
"1681",0.008
"1682",0.01
"1683",0.01
"1684",0.01
"1685",0.01
"1686",0.012
"1687",0.012
"1688",0.012
"1689",0.012
"1690",0.012
"1691",0.014
"1692",0.014
"1693",0.014
"1694",0.014
"1695",0.014
"1696",0.014
"1697",0.016
"1698",0.016
"1699",0.016
"1700",0.016
"1701",0.016
"1702",0.016
